"SledRowID","SampleRowID","StartMeter","EndMeter","TotalMeter","SledComments"
"{017259C6-5D69-11D4-B974-006008C01BCF}","{01724A07-5D69-11D4-B974-006008C01BCF}",152895,164601,11706,
"{017259C7-5D69-11D4-B974-006008C01BCF}","{01724A08-5D69-11D4-B974-006008C01BCF}",138504,152895,14391,
"{017259C8-5D69-11D4-B974-006008C01BCF}","{01724A09-5D69-11D4-B974-006008C01BCF}",991425,1003347,11922,
"{017259C9-5D69-11D4-B974-006008C01BCF}","{01724A0A-5D69-11D4-B974-006008C01BCF}",3347,15123,11776,
"{017259CA-5D69-11D4-B974-006008C01BCF}","{01724A0B-5D69-11D4-B974-006008C01BCF}",15123,26919,11796,
"{017259CB-5D69-11D4-B974-006008C01BCF}","{01724A0C-5D69-11D4-B974-006008C01BCF}",51914,64325,12411,
"{017259CC-5D69-11D4-B974-006008C01BCF}","{01724A0D-5D69-11D4-B974-006008C01BCF}",39612,51914,12302,
"{017259CD-5D69-11D4-B974-006008C01BCF}","{01724A0E-5D69-11D4-B974-006008C01BCF}",26919,39612,12693,
"{017259CE-5D69-11D4-B974-006008C01BCF}","{01724A0F-5D69-11D4-B974-006008C01BCF}",64325,78153,13828,
"{017259CF-5D69-11D4-B974-006008C01BCF}","{01724A10-5D69-11D4-B974-006008C01BCF}",78153,90014,11861,
"{017259D0-5D69-11D4-B974-006008C01BCF}","{01724A11-5D69-11D4-B974-006008C01BCF}",90014,102576,12562,
"{017259D1-5D69-11D4-B974-006008C01BCF}","{01724A12-5D69-11D4-B974-006008C01BCF}",102576,113692,11116,
"{017259D2-5D69-11D4-B974-006008C01BCF}","{01724A13-5D69-11D4-B974-006008C01BCF}",113692,126248,12556,
"{017259D3-5D69-11D4-B974-006008C01BCF}","{01724A14-5D69-11D4-B974-006008C01BCF}",126248,138504,12256,
"{017259D4-5D69-11D4-B974-006008C01BCF}","{01724A15-5D69-11D4-B974-006008C01BCF}",177965,190795,12830,
"{017259D5-5D69-11D4-B974-006008C01BCF}","{01724A16-5D69-11D4-B974-006008C01BCF}",190795,204903,14108,
"{017259D6-5D69-11D4-B974-006008C01BCF}","{01724A17-5D69-11D4-B974-006008C01BCF}",204903,220095,15192,
"{017259D7-5D69-11D4-B974-006008C01BCF}","{01724A18-5D69-11D4-B974-006008C01BCF}",339585,352465,12880,
"{017259D8-5D69-11D4-B974-006008C01BCF}","{01724A19-5D69-11D4-B974-006008C01BCF}",352465,365545,13080,
"{017259D9-5D69-11D4-B974-006008C01BCF}","{01724A1A-5D69-11D4-B974-006008C01BCF}",365545,378525,12980,
"{017259DA-5D69-11D4-B974-006008C01BCF}","{01724A1B-5D69-11D4-B974-006008C01BCF}",285315,300285,14970,
"{017259DB-5D69-11D4-B974-006008C01BCF}","{01724A1C-5D69-11D4-B974-006008C01BCF}",271105,285315,14210,
"{017259DC-5D69-11D4-B974-006008C01BCF}","{01724A1D-5D69-11D4-B974-006008C01BCF}",255795,271105,15310,
"{017259DD-5D69-11D4-B974-006008C01BCF}","{01724A1E-5D69-11D4-B974-006008C01BCF}",300285,312525,12240,
"{017259DE-5D69-11D4-B974-006008C01BCF}","{01724A1F-5D69-11D4-B974-006008C01BCF}",312525,324435,11910,
"{017259DF-5D69-11D4-B974-006008C01BCF}","{01724A20-5D69-11D4-B974-006008C01BCF}",324435,339585,15150,
"{017259E0-5D69-11D4-B974-006008C01BCF}","{01724A21-5D69-11D4-B974-006008C01BCF}",220095,232055,11960,
"{017259E1-5D69-11D4-B974-006008C01BCF}","{01724A22-5D69-11D4-B974-006008C01BCF}",232055,244125,12070,
"{017259E2-5D69-11D4-B974-006008C01BCF}","{01724A23-5D69-11D4-B974-006008C01BCF}",244125,255795,11670,
"{017259E3-5D69-11D4-B974-006008C01BCF}","{01724A24-5D69-11D4-B974-006008C01BCF}",564695,577494,12799,
"{017259E4-5D69-11D4-B974-006008C01BCF}","{01724A25-5D69-11D4-B974-006008C01BCF}",550873,564695,13822,
"{017259E5-5D69-11D4-B974-006008C01BCF}","{01724A26-5D69-11D4-B974-006008C01BCF}",536729,550873,14144,
"{017259E6-5D69-11D4-B974-006008C01BCF}","{01724A27-5D69-11D4-B974-006008C01BCF}",378525,390970,12445,
"{017259E7-5D69-11D4-B974-006008C01BCF}","{01724A28-5D69-11D4-B974-006008C01BCF}",390970,403368,12398,
"{017259E8-5D69-11D4-B974-006008C01BCF}","{01724A29-5D69-11D4-B974-006008C01BCF}",403368,415266,11898,
"{017259E9-5D69-11D4-B974-006008C01BCF}","{01724A2A-5D69-11D4-B974-006008C01BCF}",444469,456979,12510,
"{017259EA-5D69-11D4-B974-006008C01BCF}","{01724A2B-5D69-11D4-B974-006008C01BCF}",430451,444469,14018,
"{017259EB-5D69-11D4-B974-006008C01BCF}","{01724A2C-5D69-11D4-B974-006008C01BCF}",415266,430451,15185,
"{017259EC-5D69-11D4-B974-006008C01BCF}","{01724A2D-5D69-11D4-B974-006008C01BCF}",456979,470429,13450,
"{017259ED-5D69-11D4-B974-006008C01BCF}","{01724A2E-5D69-11D4-B974-006008C01BCF}",470429,483942,13513,
"{017259EE-5D69-11D4-B974-006008C01BCF}","{01724A2F-5D69-11D4-B974-006008C01BCF}",483942,496801,12859,
"{017259EF-5D69-11D4-B974-006008C01BCF}","{01724A30-5D69-11D4-B974-006008C01BCF}",496801,509555,12754,
"{017259F0-5D69-11D4-B974-006008C01BCF}","{01724A31-5D69-11D4-B974-006008C01BCF}",509555,522874,13319,
"{017259F1-5D69-11D4-B974-006008C01BCF}","{01724A32-5D69-11D4-B974-006008C01BCF}",522874,536729,13855,
"{017259F2-5D69-11D4-B974-006008C01BCF}","{01724A33-5D69-11D4-B974-006008C01BCF}",577240,588837,11597,
"{017259F3-5D69-11D4-B974-006008C01BCF}","{01724A34-5D69-11D4-B974-006008C01BCF}",588837,600385,11548,
"{017259F4-5D69-11D4-B974-006008C01BCF}","{01724A35-5D69-11D4-B974-006008C01BCF}",600385,612885,12500,
